x,y,ppscore,case,is_valid_score,metric,baseline_score,model_score,model
pdays,cons.price.idx,0.0,regression,True,mean absolute error,0.5086362000000009,0.5084364590876046,DecisionTreeRegressor()
pdays,cons.conf.idx,0.0,regression,True,mean absolute error,3.7565400000000007,3.9316730675437093,DecisionTreeRegressor()
pdays,euribor3m,0.0,regression,True,mean absolute error,1.341607,1.510962469378641,DecisionTreeRegressor()
pdays,nr.employed,0.0,regression,True,mean absolute error,54.77754000000009,57.30980306670868,DecisionTreeRegressor()
pdays,subscribed,0.19,classification,True,weighted F1,0.8338834128245893,0.8657783935317429,DecisionTreeClassifier()
pdays,job_admin.,0.0,classification,True,weighted F1,0.6436654404204273,0.6428799564591245,DecisionTreeClassifier()
pdays,job_blue-collar,0.0,classification,True,weighted F1,0.676487536623845,0.6764875938641238,DecisionTreeClassifier()
pdays,job_entrepreneur,0.0,classification,True,weighted F1,0.9460336490477644,0.9460336807440198,DecisionTreeClassifier()
pdays,job_housemaid,0.0,classification,True,weighted F1,0.960873887931908,0.960873919136163,DecisionTreeClassifier()
pdays,job_management,0.0,classification,True,weighted F1,0.8918827192527243,0.8918827527999239,DecisionTreeClassifier()
pdays,job_other,0.0,classification,True,weighted F1,0.986819445560466,0.986819445560466,DecisionTreeClassifier()
pdays,job_retired,0.0,classification,True,weighted F1,0.9368591744993869,0.9366591865955642,DecisionTreeClassifier()
pdays,job_self-employed,0.0,classification,True,weighted F1,0.9466262498727217,0.9466262815367164,DecisionTreeClassifier()
pdays,job_services,0.0,classification,True,weighted F1,0.8584201680672268,0.8582205087249364,DecisionTreeClassifier()
pdays,job_student,0.0,classification,True,weighted F1,0.9698030508132135,0.9696029404228579,DecisionTreeClassifier()
pdays,job_technician,0.0,classification,True,weighted F1,0.7652658690450294,0.7662988511120482,DecisionTreeClassifier()
pdays,job_unemployed,0.0,classification,True,weighted F1,0.961765964343598,0.961765964343598,DecisionTreeClassifier()
pdays,marital_divorced,0.0,classification,True,weighted F1,0.8347465140919686,0.8347465616714926,DecisionTreeClassifier()
pdays,marital_married,0.0,classification,True,weighted F1,0.5204,0.4551386948216745,DecisionTreeClassifier()
pdays,marital_other,0.0,classification,True,weighted F1,0.9976006405124099,0.9976006405124099,DecisionTreeClassifier()
pdays,marital_single,0.01,classification,True,weighted F1,0.5890642957416939,0.5930347637701605,DecisionTreeClassifier()
pdays,education_basic.4y,0.0,classification,True,weighted F1,0.8459862403714254,0.8456868137313791,DecisionTreeClassifier()
pdays,education_basic.6y,0.0,classification,True,weighted F1,0.9159242152927858,0.9159242479843185,DecisionTreeClassifier()
pdays,education_basic.9y,0.0,classification,True,weighted F1,0.7824970286331714,0.7824970664849125,DecisionTreeClassifier()
pdays,education_high.school,0.0,classification,True,weighted F1,0.6696711944852526,0.6690808485543197,DecisionTreeClassifier()
pdays,education_illiterate,0.0,classification,True,weighted F1,0.9991000900270081,0.9991001200480192,DecisionTreeClassifier()
pdays,education_other,0.0,classification,True,weighted F1,0.9359724067450179,0.9357723726509597,DecisionTreeClassifier()
pdays,education_professional.course,0.0,classification,True,weighted F1,0.8223959552953698,0.822576810496293,DecisionTreeClassifier()
pdays,education_university.degree,0.0,classification,True,weighted F1,0.588,0.5839537124900127,DecisionTreeClassifier()
pdays,housing_no,0.0,classification,True,weighted F1,0.5104,0.4064655652825391,DecisionTreeClassifier()
pdays,housing_other,0.0,classification,True,weighted F1,0.9659314586283634,0.9659315000281583,DecisionTreeClassifier()
pdays,housing_yes,0.0,classification,True,weighted F1,0.5044,0.3863626756428652,DecisionTreeClassifier()
pdays,loan_no,0.0,classification,True,weighted F1,0.7506525486764385,0.7505054933418089,DecisionTreeClassifier()
pdays,loan_other,0.0,classification,True,weighted F1,0.9659314586283634,0.9659315000281583,DecisionTreeClassifier()
pdays,loan_yes,0.0,classification,True,weighted F1,0.78278029386344,0.7826551259685258,DecisionTreeClassifier()
pdays,contact_cellular,0.0,classification,True,weighted F1,0.5252,0.4948048499664487,DecisionTreeClassifier()
pdays,contact_telephone,0.0,classification,True,weighted F1,0.5252,0.4948048499664487,DecisionTreeClassifier()
pdays,month_apr,0.02,classification,True,weighted F1,0.9038849111202977,0.9053411946182615,DecisionTreeClassifier()
pdays,month_aug,0.0,classification,True,weighted F1,0.7856143319663286,0.786660292446612,DecisionTreeClassifier()
pdays,month_dec,0.0,classification,True,weighted F1,0.9934048506714773,0.9934048909366446,DecisionTreeClassifier()
pdays,month_jul,0.0,classification,True,weighted F1,0.7456105217010083,0.7454121914073929,DecisionTreeClassifier()
pdays,month_jun,0.0,classification,True,weighted F1,0.8138056593699947,0.8138056958878435,DecisionTreeClassifier()
pdays,month_mar,0.0,classification,True,weighted F1,0.9781536818777072,0.9780536775058535,DecisionTreeClassifier()
pdays,month_may,0.0,classification,True,weighted F1,0.5504,0.5286533637431313,DecisionTreeClassifier()
pdays,month_nov,0.0,classification,True,weighted F1,0.8561036164844407,0.8567682129823209,DecisionTreeClassifier()
pdays,month_oct,0.0,classification,True,weighted F1,0.972187301907742,0.9720873010044591,DecisionTreeClassifier()
pdays,month_sep,0.0,classification,True,weighted F1,0.9796465565847764,0.9795465209841101,DecisionTreeClassifier()
pdays,day_of_week_fri,0.0,classification,True,weighted F1,0.7283091591260208,0.7283092128771804,DecisionTreeClassifier()
pdays,day_of_week_mon,0.0,classification,True,weighted F1,0.692644755401321,0.6922500742995149,DecisionTreeClassifier()
pdays,day_of_week_thu,0.0,classification,True,weighted F1,0.7014489682097045,0.7027417295877014,DecisionTreeClassifier()
pdays,day_of_week_tue,0.0,classification,True,weighted F1,0.7213619121389842,0.7224616376112737,DecisionTreeClassifier()
pdays,day_of_week_wed,0.0,classification,True,weighted F1,0.7119408641563924,0.7119409052766672,DecisionTreeClassifier()
pdays,poutcome_failure,0.01,classification,True,weighted F1,0.8537885521885522,0.8545309045118721,DecisionTreeClassifier()
pdays,poutcome_nonexistent,0.37,classification,True,weighted F1,0.8086619878035733,0.8785603995835604,DecisionTreeClassifier()
pdays,poutcome_success,0.91,classification,True,weighted F1,0.9531504216194249,0.9956555919515867,DecisionTreeClassifier()
previous,age,0.0,regression,True,mean absolute error,8.334,8.500488279351487,DecisionTreeRegressor()
previous,campaign,0.0,regression,True,mean absolute error,1.5188,1.7365939181012389,DecisionTreeRegressor()
previous,pdays,0.0,regression,True,mean absolute error,34.3472,42.57430638983316,DecisionTreeRegressor()
previous,previous,1.0,predict_itself,True,,0.0,1.0,
previous,emp.var.rate,0.06,regression,True,mean absolute error,1.27854,1.202755250814775,DecisionTreeRegressor()
previous,cons.price.idx,0.08,regression,True,mean absolute error,0.5086362000000009,0.46957692625836883,DecisionTreeRegressor()
previous,cons.conf.idx,0.0,regression,True,mean absolute error,3.7565400000000007,3.9202046987930528,DecisionTreeRegressor()
previous,euribor3m,0.03,regression,True,mean absolute error,1.341607,1.3007059692118166,DecisionTreeRegressor()
previous,nr.employed,0.09,regression,True,mean absolute error,54.77754000000009,49.9740680861312,DecisionTreeRegressor()
previous,subscribed,0.02,classification,True,weighted F1,0.8338834128245893,0.8378038622437317,DecisionTreeClassifier()
previous,job_admin.,0.0,classification,True,weighted F1,0.6436654404204273,0.6436654851455215,DecisionTreeClassifier()
previous,job_blue-collar,0.0,classification,True,weighted F1,0.676487536623845,0.6764875938641238,DecisionTreeClassifier()
previous,job_entrepreneur,0.0,classification,True,weighted F1,0.9460336490477644,0.9460336807440198,DecisionTreeClassifier()
previous,job_housemaid,0.0,classification,True,weighted F1,0.960873887931908,0.9607738964851831,DecisionTreeClassifier()
previous,job_management,0.0,classification,True,weighted F1,0.8918827192527243,0.8918827527999239,DecisionTreeClassifier()
previous,job_other,0.0,classification,True,weighted F1,0.986819445560466,0.986819445560466,DecisionTreeClassifier()
previous,job_retired,0.0,classification,True,weighted F1,0.9368591744993869,0.9368591744993869,DecisionTreeClassifier()
previous,job_self-employed,0.0,classification,True,weighted F1,0.9466262498727217,0.9466262815367164,DecisionTreeClassifier()
previous,job_services,0.0,classification,True,weighted F1,0.8584201680672268,0.8584201680672268,DecisionTreeClassifier()
